Marca temporal,Peso en KGs (Ej: 69.7),Adjuntar Foto del día que te pesaste,Dia
28/12/2021 3:10:45,68.9,https://drive.google.com/open?id=1dZjvlKih38gP7COAIZi58onYw1u_PI_i,28/12/2021
29/12/2021 3:09:30,68.9,https://drive.google.com/open?id=1HmSK4SV5BLA6FWwGLU7lwSODlLj0kqj7,29/12/2021
30/12/2021 2:48:25,68.9,https://drive.google.com/open?id=19NPRostauqN3rOaARQdUazQon4LhPQKy,30/12/2021
27/01/2022 1:49:13,68.7,https://drive.google.com/open?id=1sWkbZKEugU4o3MCBaPJ2tmLWSlQCijx1,26/01/2022
29/01/2022 2:11:45,69,,28/01/2022
1/02/2022 0:29:06,68.9,,31/01/2022
2/02/2022 1:10:25,69.2,,1/02/2022
8/02/2022 1:00:15,68.5,,8/02/2022
21/02/2022 2:27:28,67.4,https://drive.google.com/open?id=1jwTWNXrZnTQZ2oFrrZyMZCzd4cwTM4Jl,20/02/2022
22/02/2022 0:43:14,67.9,,21/02/2022
24/02/2022 2:55:14,68.7,https://drive.google.com/open?id=1BpwUo0fgnAQXcHR-mMEbQ8bqEfX4iRS3,23/02/2022
2/03/2022 1:42:46,69,,1/03/2022
19/03/2022 3:22:45,66.5,https://drive.google.com/open?id=1buRvneY1qdANrkxKTUFul68EfD-vC7UG,19/03/2022
