Marca temporal,Tiempo de carrera (En min),Distancia en Km,Modalidad,Rating Forma Física,Rating exigencia de la carrera
10/01/2022 16:06:49,10,1,Hibrido,3,2
13/01/2022 14:23:33,24,"4,1",Trote,2,4
19/01/2022 19:30:18,25,4,Trote,3,2
25/01/2022 17:48:28,29,4.66,Trote,4,3
5/02/2022 13:19:53,20,4,Trote,3,2
8/02/2022 0:43:18,20,3.60,Trote,4,4
10/02/2022 18:34:32,21,"3,8",Trote,2,3
15/02/2022 11:26:53,20,"3,5",Trote,4,2
21/02/2022 16:36:48,20,3.55,Trote,2,3
1/03/2022 19:58:10,24,3.77,Trote,3,2
6/03/2022 12:39:54,25,4,Trote,3,3
8/04/2022 17:21:41,32,5.57,Trote,4,4
